ASN,Org,IPs,Providers,Names
206804,ESTNOC-GLOBAL,111,11,"AirVPN, ExpressVPN, IPVanish, IVPN, Private Internet Access, ProtonVPN, StrongVPN, Tor, TorGuard, WLVPN, Windscribe"
3223,VOXILITY,110,5,"IPVanish, Purevpn, StrongVPN, Vpnht, WLVPN"
22363,PHMGMT-AS1,108,2,"Giganews, VyprVPN"
43350,NFORCE,107,8,"BTGuard, Cryptostorm, IPVanish, ProtonVPN, Smartdnsproxy, VPN.ac, WLVPN, Zoogvpn"
209847,THE,103,7,"AnonymousVPN, FireHOL, FlowVPN, KeepSolid VPN Unlimited, VPNUK, WorldVPN, Zoogvpn"
12876,Online SAS,101,22,"Anonine, AnonymousVPN, BoxPN, Bulletvpn, CactusVPN, Cryptostorm, EasyHideIP, FlowVPN, Freevpn, KeepSolid VPN Unlimited, NordVPN, Ra4w, Riseup VPN, Safervpn, SmartVPN, Tor, Trust.Zone, VPN.ac, VPNSecure, VPNUK, Vpnht, Zoogvpn"
13737,AS-INCX,100,4,"IPVanish, Surfshark, WLVPN, Windscribe"
53667,PONYNET,97,4,"FlowVPN, Ra4w, Tor, Vpnarea"
63949,AKAMAI-LINODE-AP Akamai Connected Cloud,91,5,"GhostPath, Slickvpn, Slickvpncore, Tor, TunnelBear"
62744,QUINTEX,89,2,"AirVPN, Tor"
42675,OBEHOSTING Obehosting AB,81,3,"AzireVPN, Ovpn, PrivateVPN"
55286,SERVER-MANIA,79,6,"Astrill, IPVanish, StrongVPN, Tor, WLVPN, Zoogvpn"
40676,AS40676 - Psychz Networks,77,13,"ExpressVPN, FastestVPN, Hotspotshield, KeepSolid VPN Unlimited, OysterVPN, Ra4w, Smartdnsproxy, Tor, TorGuard, TunnelBear, VPN.ac, Windscribe, Zoogvpn"
42708,GLESYS glesys.com,76,19,"Anonine, Bulletvpn, CactusVPN, EasyHideIP, ExpressVPN, FlowVPN, Froot, Getflix, GhostPath, IVPN, Le VPN, Ovpn, PhantomPeer, Private Internet Access, Slickvpn, Slickvpncore, Smartdnsproxy, Vpnarea, Vpntunnel"
13926,NETPROTECT-PHX,72,3,"IPVanish, StrongVPN, WLVPN"
6206,NETROUTING-AS,71,3,"AirVPN, AzireVPN, KeepSolid VPN Unlimited"
24940,HETZNER-AS,70,7,"CactusVPN, FireHOL, GhostPath, HideIPVPN, Ra4w, Slickvpn, WorldVPN"
46562,PERFORMIVE,70,6,"FireHOL, ProtonVPN, Surfshark, TorGuard, Vpnarea, Windscribe"
43289,TRABIA,69,16,"Bulletvpn, ExpressVPN, GhostPath, IPVanish, Ivacy, NordVPN, Private Internet Access, PrivateVPN, Purevpn, Tor, TorGuard, TunnelBear, Vpnarea, WLVPN, Windscribe, Zoogvpn"
51430,ALTUS,69,12,"AirVPN, Cryptostorm, IPVanish, Ivacy, NordVPN, Private Internet Access, ProtonVPN, Purevpn, StrongVPN, VPN.ac, WLVPN, Windscribe"
51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,65,13,"Anonine, BoxPN, EasyHideIP, FlowVPN, IPVanish, IVPN, Mullvad, ProtonVPN, Ra4w, TunnelBear, Vpntunnel, WLVPN, Zoogvpn"
35758,HQSERV_NETWORKS,60,9,"Anonine, BoxPN, EasyHideIP, IVPN, Tor, TunnelBear, Vpntunnel, Windscribe, Zoogvpn"
132372,GBNETWORK-AS-AP GB Network Solutions Sdn. Bhd.,60,5,"IPVanish, Ivacy, Purevpn, StrongVPN, WLVPN"
394256,CLOUDSINGULARITY,59,4,"AirVPN, AzireVPN, IVPN, Mullvad"
133480,INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD,54,9,"AirVPN, GhostPath, Hide.me, PrivateVPN, Slickvpn, TorGuard, Trust.Zone, VPN.ac, Windscribe"
49981,WORLDSTREAM,53,3,"Freevpn, ProtonVPN, Trust.Zone"
63473,HOSTHATCH,52,6,"AnonymousVPN, AzireVPN, FlowVPN, KevinVPN, Ra4w, WorldVPN"
20860,IOMART-AS,48,14,"Anonine, BoxPN, CactusVPN, Cryptostorm, FlowVPN, HideIPVPN, KeepSolid VPN Unlimited, Safervpn, Smartdnsproxy, SwitchVPN, Tor, VPN.ac, VPNUK, uVPN"
51852,PLI-AS,48,16,"Anonine, BoxPN, Bulletvpn, CactusVPN, Cryptostorm, EasyHideIP, Froot, Getflix, IVPN, Mullvad, Smartdnsproxy, SwitchVPN, Tor, VPN.ac, Vpntunnel, Windscribe"
60781,LEASEWEB-NL-AMS-01 Netherlands,48,14,"Anonine, BoxPN, Bulletvpn, CactusVPN, EasyHideIP, HideIPVPN, IVPN, SwitchVPN, Tor, TunnelBear, VPN.ac, Vpnht, Vpntunnel, Zoogvpn"
63018,DEDICATED,48,4,"AirVPN, AzireVPN, FastestVPN, KeepSolid VPN Unlimited"
197706,"KEMINET A datacenter located in TiranaAlbania. Webhosting, Dedicated Servers, VPS, IPv4IPv6 leasing",47,13,"Bulletvpn, CyberGhost, ExpressVPN, IPVanish, Ivacy, Mullvad, Private Internet Access, ProtonVPN, Purevpn, Trust.Zone, Vpnarea, WLVPN, Windscribe"
63023,AS-GLOBALTELEHOST,46,10,"Anonine, Astrill, BoxPN, EasyHideIP, HideIPVPN, ProtonVPN, Tor, Vpntunnel, Windscribe, Zoogvpn"
43357,OWL Owl Limited,44,2,"AzireVPN, Mullvad"
45179,SITEHOST-AS-AP SiteHost New Zealand,44,2,"AirVPN, TunnelBear"
46475,LIMESTONENETWORKS,44,8,"Astrill, ExpressVPN, Ivacy, KeepSolid VPN Unlimited, Private Internet Access, ProtonVPN, Purevpn, TunnelBear"
20278,NEXEON,43,2,"NordVPN, Surfshark"
41564,AS41564,41,6,"Cryptostorm, ExpressVPN, NordVPN, Private Internet Access, ProtonVPN, Windscribe"
57169,EDIS-AS-EU,40,10,"Astrill, Bulletvpn, FlowVPN, GhostPath, Le VPN, Safervpn, Slickvpn, Smartdnsproxy, SwitchVPN, Vpnarea"
40861,PARAD-40-ASN,38,2,"Giganews, VyprVPN"
52048,RIXHOST,38,2,"AirVPN, Windscribe"
58065,PACKETEXCHANGE,37,7,"Cryptostorm, ExpressVPN, NordVPN, Private Internet Access, ProtonVPN, Surfshark, Windscribe"
200651,FLOKINET,36,4,"IVPN, Tor, VPN.ac, Windscribe"
207990,HR-CUSTOMER,34,5,"IPVanish, Mullvad, NordVPN, Surfshark, WLVPN"
56655,GIGAHOST,33,10,"Anonine, BoxPN, Bulletvpn, EasyHideIP, GhostPath, Safervpn, Slickvpn, Tor, TorGuard, Vpnarea"
58325,BANDWIDTH-ASIA,32,3,"FastestVPN, NordVPN, Surfshark"
60404,LITESERVER,30,5,"Ra4w, Safervpn, SotaVPN, Tor, Zoogvpn"
27284,FOURPLEX-ASN,29,2,"KevinVPN, Tor"
50304,BLIX,29,5,"AzireVPN, Mullvad, PrivateVPN, SwitchVPN, Tor"
52423,Data Miners S.A.  Racknation.cr,27,7,"Anonine, BoxPN, EasyHideIP, FlowVPN, IPVanish, Tor, WLVPN"
46450,PILOT,26,2,"Hotspotshield, KeepSolid VPN Unlimited"
56630,MELBICOM-EU-AS Melbikomas UAB,26,4,"FlowVPN, Ivacy, Purevpn, TunnelBear"
197540,NETCUP-AS netcup GmbH,25,2,"KeyDrop, Tor"
32097,WII,24,4,"Astrill, CactusVPN, Slickvpn, VPNUK"
39486,HOSTROYALE,24,3,"Mullvad, NordVPN, Surfshark"
263812,SONDATECH S.A.S.,24,2,"Tor, Windscribe"
4766,KIXS-AS-KR Korea Telecom,23,2,"FlowVPN, VPN Gate"
53356,FREE RANGE CLOUD,23,2,"FlowVPN, Windscribe"
4785,XTOM-AS-JP xTom,22,3,"IPVanish, ProtonVPN, WLVPN"
24961,MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,22,8,"Anonine, BoxPN, Cryptostorm, EasyHideIP, FastestVPN, KeepSolid VPN Unlimited, VPNUK, Zoogvpn"
28753,LEASEWEB-DE-FRA-10,22,6,"Bulletvpn, IVPN, SmartVPN, Tor, VPN.ac, VPNUK"
30058,FDCSERVERS,22,7,"Anonvpn, Bulletvpn, CactusVPN, GhostPath, KeepSolid VPN Unlimited, Proxpn, Slickvpn"
45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",22,3,"FireHOL, Tor, WorldVPN"
204094,I4W,22,3,"CactusVPN, Safervpn, TunnelBear"
11831,ESECUREDATA,19,11,"Anonine, BoxPN, EasyHideIP, Froot, KeepSolid VPN Unlimited, PrivateVPN, Trust.Zone, VPN.ac, Vpnarea, Vpntunnel, Zoogvpn"
3257,GTT-BACKBONE GTT,18,2,"NordVPN, Private Internet Access"
45899,VNPT-AS-VN VNPT Corp,18,4,"FireHOL, FlowVPN, KeepSolid VPN Unlimited, Windscribe"
138915,KAOPU-HK Kaopu Cloud HK Limited,18,5,"CactusVPN, FlowVPN, Le VPN, OysterVPN, Zoogvpn"
204957,GREENFLOID-AS,18,3,"AnonymousVPN, Ra4w, WorldVPN"
397373,H4Y-TECHNOLOGIES,18,5,"Cryptostorm, GhostPath, Slickvpn, Surfshark, Windscribe"
29889,FSNET-1,17,5,"Anonine, BoxPN, EasyHideIP, Froot, Vpntunnel"
50613,THORDC-AS,17,11,"Bulletvpn, GhostPath, Hide.me, IVPN, Le VPN, PrivateVPN, Proxpn, Slickvpn, Tor, TorGuard, Vpnarea"
328364,Host-Africa-AS,17,4,"Bulletvpn, GhostPath, Slickvpn, Tor"
1299,"TWELVE99 Arelion, fka Telia Carrier",16,3,"AnonymousVPN, AzireVPN, PrivateVPN"
16509,AMAZON-02,16,4,"FlowVPN, Perimeter81, Ra4w, Slickvpn"
55720,GIGABIT-MY Gigabit Hosting Sdn Bhd,16,4,"AirVPN, IVPN, SwitchVPN, Tor"
133398,TELE-AS Tele Asia Limited,16,6,"Anonine, BoxPN, CactusVPN, EasyHideIP, SwitchVPN, Vpntunnel"
3462,HINET Data Communication Business Group,15,7,"FireHOL, FlowVPN, Slickvpn, Tor, TorGuard, Vpnarea, Windscribe"
9008,ASN-VO Visual Online S.A. Luxembourg,15,5,"Anonine, BoxPN, EasyHideIP, Tor, Vpntunnel"
197155,ARTNET,15,6,"Anonine, BoxPN, EasyHideIP, Surfshark, Trust.Zone, Windscribe"
202422,GHOST,15,7,"AnonymousVPN, KeepSolid VPN Unlimited, KevinVPN, Le VPN, PrivateVPN, Smartdnsproxy, Tor"
6698,VIRTUALSYSTEMS,14,8,"Anonine, BoxPN, CactusVPN, EasyHideIP, FlowVPN, Tor, Trust.Zone, Zoogvpn"
49367,ASSEFLOW,14,7,"AnonymousVPN, Ovpn, Smartdnsproxy, SwitchVPN, TunnelBear, VPNUK, Zoogvpn"
199524,GCORE,14,6,"CactusVPN, FlowVPN, IVPN, Ivacy, PrivateVPN, Purevpn"
20454,SSASN2,13,5,"FireHOL, FlowVPN, GhostPath, Slickvpn, Slickvpncore"
29802,HVC-AS,13,6,"GhostPath, Slickvpn, Tor, VPN.ac, VPNUK, Windscribe"
198890,MADCOM-ASN,13,2,"NordVPN, Windscribe"
31034,ARUBA-ASN,12,5,"Bulletvpn, CactusVPN, FlowVPN, KeepSolid VPN Unlimited, WorldVPN"
36666,GTCOMM,12,10,"Anonine, BoxPN, EasyHideIP, Froot, GhostPath, Hide.me, Slickvpn, Slickvpncore, Trust.Zone, Vpntunnel"
133752,LEASEWEB-APAC-HKG-10 LEASEWEB HONG KONG LIMITED,12,9,"CactusVPN, Hide.me, IVPN, OysterVPN, Proxpn, Safervpn, VPN.ac, VPNSecure, VPNUK"
3170,VELOXSERV,11,3,"AzireVPN, FastestVPN, Mullvad"
15626,GF-UA,11,4,"Bulletvpn, KeepSolid VPN Unlimited, Tor, WorldVPN"
21130,IOMART-IE,11,5,"Anonine, BoxPN, EasyHideIP, VPNSecure, VPNUK"
33083,AXCELX-NET,11,4,"GhostPath, Slickvpn, Tor, Windscribe"
45382,EHOSTIDC-AS-KR Hostcenter,11,8,"Anonine, BoxPN, EasyHideIP, FastestVPN, FlowVPN, SwitchVPN, Tor, Vpnht"
56971,AS56971 AS56971 Cloud,11,2,"FireHOL, WorldVPN"
61138,ZAPPIE-HOST-AS Zappie Host,11,5,"FlowVPN, KeepSolid VPN Unlimited, Safervpn, Tor, Vpnht"
31103,KEYWEB-AS,10,2,"Ovpn, Tor"
37153,xneelo,10,7,"FastestVPN, FlowVPN, KeepSolid VPN Unlimited, PrivateVPN, Safervpn, Vpnarea, Zoogvpn"
59729,ITL-BG,10,5,"AnonymousVPN, Bulletvpn, Ra4w, Tor, WorldVPN"
61272,IST-AS,10,5,"ExpressVPN, Hide.me, Private Internet Access, ProtonVPN, Zoogvpn"
210772,NEWPUSH,10,3,"FlowVPN, Safervpn, Vpnarea"
7040,NETMINDERS,9,3,"Slickvpn, SwitchVPN, VPN.ac"
8473,BAHNHOF,9,6,"GhostPath, Integrityvpn, ProtonVPN, Slickvpn, Tor, VPNSecure"
12389,ROSTELECOM-AS PJSC Rostelecom. Technical Team,9,3,"FireHOL, VPN Gate, VPNObratno"
23959,OWL-AS-AP Owl Limited,9,2,"AzireVPN, Mullvad"
51167,CONTABO,9,2,"FireHOL, Tor"
60458,ASN-XTUDIONET,9,3,"Anonine, BoxPN, EasyHideIP"
61317,ASDETUK www.heficed.com,9,7,"AnonymousVPN, Bulletvpn, FlowVPN, Smartdnsproxy, SwitchVPN, Trust.Zone, VPN.ac"
132335,LEAPSWITCH-IN-AS-AP LEAPSWITCH NETWORKS PRIVATE LIMITED,9,3,"GhostPath, Slickvpn, Windscribe"
200698,GLOBALHOST-BOSNIA-AS,9,4,"KeepSolid VPN Unlimited, ProtonVPN, Surfshark, Windscribe"
213790,LIMITEDNETWORK-AS,9,2,"FireHOL, Tor"
6866,CYTA-NETWORK Internet Services,8,3,"FireHOL, PrivateVPN, Windscribe"
7979,SERVERS-COM,8,8,"GhostPath, HideIPVPN, PrivateVPN, ProtonVPN, Slickvpn, Slickvpncore, SwitchVPN, TorGuard"
9318,SKB-AS SK Broadband Co Ltd,8,4,"FireHOL, FlowVPN, VPN Gate, Windscribe"
23470,RELIABLESITE,8,6,"Astrill, Bulletvpn, GhostPath, Slickvpn, Slickvpncore, Vpnarea"
29691,NINE,8,7,"Bulletvpn, GhostPath, PhantomPeer, Proxpn, Safervpn, Slickvpn, Tor"
34081,SERVER24-AS INCUBATEC GmbH - Srl,8,3,"Anonine, BoxPN, EasyHideIP"
39326,HSO-GROUP,8,5,"Bulletvpn, GhostPath, Slickvpn, Vpnarea, uVPN"
50979,ITL-LV,8,4,"Bulletvpn, FlowVPN, Trust.Zone, WorldVPN"
202425,INT-NETWORK,8,3,"HideIPVPN, Tor, VPN.ac"
205119,TELEKS-,8,4,"NordVPN, Private Internet Access, Surfshark, Windscribe"
215540,GCS-AS,8,3,"FireHOL, FlowVPN, Tor"
396190,LEASEWEB-USA-SEA,8,3,"Cryptostorm, KeepSolid VPN Unlimited, VPN.ac"
2516,KDDI KDDI CORPORATION,7,2,"Slickvpn, VPN Gate"
6718,NAV NAV Communications,7,2,"AnonymousVPN, Tor"
7552,VIETEL-AS-AP Viettel Group,7,2,"FireHOL, VPN Gate"
27176,DATAWAGON,7,2,"Slickvpn, Tor"
30633,LEASEWEB-USA-WDC,7,6,"Bulletvpn, Cryptostorm, FastestVPN, HideIPVPN, Ivacy, Tor"
31898,ORACLE-BMC-31898,7,2,"FireHOL, MoriVPN"
39020,COMVIVE-AS Seville - Spain,7,7,"Bulletvpn, GhostPath, Le VPN, Safervpn, Slickvpn, VPNUK, Vpnarea"
42926,RADORE,7,5,"Anonine, BoxPN, EasyHideIP, Trust.Zone, Vpntunnel"
48894,OPTIMUS-AS,7,4,"Bulletvpn, GhostPath, KeepSolid VPN Unlimited, Slickvpn"
54643,IDIGITAL,7,7,"Anonine, BoxPN, Bulletvpn, EasyHideIP, FlowVPN, Froot, Vpntunnel"
59253,LEASEWEB-APAC-SIN-11 LEASEWEB SINGAPORE PTE. LTD.,7,3,"Bulletvpn, Proxpn, VPN.ac"
397423,TIER-NET,7,3,"GhostPath, Slickvpn, Surfshark"
18747,IFX18747,6,2,"AzireVPN, PrivateVPN"
22773,ASN-CXA-ALL-CCI-22773-RDC,6,2,"FireHOL, Tor"
24768,ALMOUROLTEC,6,5,"FlowVPN, IVPN, PrivateVPN, VPN.ac, Vpnarea"
30900,WEBWORLD-AS ta Web World Ireland,6,6,"Astrill, Bulletvpn, OysterVPN, Safervpn, VPNUK, Vpnarea"
41652,SAS-SHPV-FRANCE,6,2,"Freedomip, Tor"
42422,SECURITYNET-AS,6,3,"FlowVPN, GhostPath, Slickvpn"
45839,SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd,6,5,"Anonine, BoxPN, CactusVPN, EasyHideIP, Vpntunnel"
47810,PROSERVICE,6,3,"ExpressVPN, Windscribe, Zoogvpn"
62563,AS-GLOBALTELEHOST,6,6,"Anonine, Astrill, BoxPN, EasyHideIP, Froot, Vpntunnel"
268581,QNAX LTDA,6,4,"CactusVPN, IVPN, PrivateVPN, Windscribe"
399629,BLNWX,6,2,"FireHOL, Tor"
400587,RYAMER,6,3,"AzireVPN, Tor, Windscribe"
3236,SERVER server.ua,5,5,"AzireVPN, CactusVPN, IVPN, PrivateVPN, Trust.Zone"
3786,LGDACOM LG DACOM Corporation,5,3,"FireHOL, VPN Gate, Windscribe"
7203,LEASEWEB-USA-SFO,5,3,"Astrill, KeepSolid VPN Unlimited, VPN.ac"
8280,SYNAPSECOM-AS SYNAPSECOM TELECOMS S.A.,5,3,"Bulletvpn, GhostPath, KeepSolid VPN Unlimited"
16247,"M247-UK M247 UK Ltd, trading as M247",5,4,"Cryptostorm, Goosevpn, IVPN, Trust.Zone"
18978,ENZUINC-,5,3,"Getflix, KeepSolid VPN Unlimited, Smartdnsproxy"
26383,ASNET,5,3,"FlowVPN, Tor, WorldVPN"
29066,VELIANET-AS velia.net Internetdienste GmbH,5,2,"ExpressVPN, NetShade"
30860,YURTEH-AS,5,3,"AnonymousVPN, Hotspotshield, Tor"
33387,NOCIX,5,5,"FlowVPN, GhostPath, Hide.me, Slickvpn, VPNUK"
36351,SOFTLAYER,5,6,"Astrill, FlowVPN, GhostPath, Hide.me, Slickvpn, Slickvpncore"
39798,MIVOCLOUD,5,2,"ProtonVPN, Ra4w"
40156,THEOPT-HOU,5,3,"GhostPath, KeepSolid VPN Unlimited, Slickvpn"
42237,W1N,5,2,"SwitchVPN, Tor"
43513,NANO-AS,5,3,"CCrypto VPN, Ra4w, Surfshark"
59711,HZ-EU-AS,5,3,"KeepSolid VPN Unlimited, Tor, Trust.Zone"
62904,AS62904 - Eonix Corporation,5,5,"Anonine, BoxPN, EasyHideIP, Froot, Vpntunnel"
136052,IDNIC-IDCLOUDHOST-AS-ID PT Cloud Hosting Indonesia,5,2,"FlowVPN, Tor"
197648,CL8ASN1,5,4,"FlowVPN, PrivateVPN, Safervpn, Tor"
198610,BEGET-AS,5,2,"FireHOL, KeyDrop"
200019,ALEXHOST,5,3,"CactusVPN, Cryptostorm, Tor"
202759,FAIRYHOSTING,5,6,"Bulletvpn, FlowVPN, GhostPath, PrivateVPN, Slickvpn, Zoogvpn"
206264,AMARUTU-TECHNOLOGY,5,4,"Ivacy, Purevpn, Tor, Trust.Zone"
206991,IXIR,5,5,"Bulletvpn, FastestVPN, OysterVPN, VPNUK, Vpnarea"
210644,AEZA-AS,5,2,"FireHOL, KeyDrop"
212336,BYTEVIRTLLC,5,2,"FlowVPN, Zoogvpn"
215730,H2NEXUS-AS,5,2,"FlowVPN, SotaVPN"
1257,TELE2,4,3,"Ivacy, ProtonVPN, Purevpn"
5483,MAGYAR-TELEKOM-MAIN-AS Magyar Telekom Nyrt.,4,2,"Bulletvpn, FireHOL"
6461,ZAYO-6461,4,2,"CyberGhost, Private Internet Access"
6939,HURRICANE,4,4,"Astrill, Cryptostorm, NetShade, Tor"
7922,COMCAST-7922,4,2,"FireHOL, VPN Gate"
18403,FPT-AS-AP FPT Telecom Company,4,2,"FireHOL, VPN Gate"
